id,age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid,label
1,69,F,Other,Greater than 45,Low,Male,0,-1.0,1,0,0,0
3,34,F,African-American,25 - 45,Low,Male,0,-1.0,3,1,1,1
4,24,F,African-American,Less than 25,Low,Male,4,-1.0,4,1,1,1
7,44,M,Other,25 - 45,Low,Male,0,0.0,1,0,0,0
8,41,F,Caucasian,25 - 45,Medium,Male,14,-1.0,6,1,1,1
9,43,F,Other,25 - 45,Low,Male,3,-1.0,4,0,0,0
10,39,M,Caucasian,25 - 45,Low,Female,0,-1.0,1,0,0,0
14,27,F,Caucasian,25 - 45,Low,Male,0,-1.0,4,0,0,0
15,23,M,African-American,Less than 25,Medium,Male,3,0.0,6,1,1,1
16,37,M,Caucasian,25 - 45,Low,Female,0,0.0,1,0,0,0
18,41,F,African-American,25 - 45,Low,Male,0,-1.0,4,0,0,0
19,47,F,Caucasian,Greater than 45,Low,Female,1,-20.0,1,1,1,1
20,31,F,African-American,25 - 45,Low,Male,7,22.0,3,1,1,1
21,37,M,Hispanic,25 - 45,Low,Male,0,0.0,1,0,0,0
22,25,F,African-American,25 - 45,High,Male,3,-1.0,10,0,0,0
23,31,F,Caucasian,25 - 45,Medium,Male,6,-1.0,5,1,1,1
24,31,F,Caucasian,25 - 45,Low,Male,5,-1.0,3,1,1,1
25,64,F,African-American,Greater than 45,Medium,Male,13,-1.0,6,1,1,1
26,21,F,African-American,Less than 25,High,Male,1,-1.0,9,1,1,1
27,27,M,Caucasian,25 - 45,Low,Male,0,0.0,2,1,1,1
28,21,F,Caucasian,Less than 25,Low,Female,0,-2.0,4,0,0,0
30,24,F,Hispanic,Less than 25,Low,Male,1,0.0,4,1,1,1
32,43,M,Caucasian,25 - 45,Low,Male,1,-1.0,1,0,0,0
33,32,M,Other,25 - 45,Low,Male,0,-1.0,3,0,0,0
37,27,F,African-American,25 - 45,Low,Male,8,-1.0,3,1,1,1
39,26,F,African-American,25 - 45,Medium,Male,5,-1.0,7,1,1,1
40,33,F,African-American,25 - 45,High,Male,0,0.0,10,1,1,1
41,30,F,Caucasian,25 - 45,High,Male,9,0.0,9,1,1,1
42,32,F,African-American,25 - 45,High,Male,4,-1.0,8,1,1,1
45,55,F,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0,0
50,49,F,Other,Greater than 45,Low,Male,7,-1.0,3,1,1,1
52,33,M,Caucasian,25 - 45,Medium,Female,4,-1.0,5,1,1,1
53,24,M,Caucasian,Less than 25,Low,Male,1,0.0,2,1,1,1
54,34,F,African-American,25 - 45,High,Male,21,0.0,9,1,1,1
55,29,M,Caucasian,25 - 45,Low,Male,0,0.0,2,0,0,0
56,21,F,African-American,Less than 25,High,Female,2,-1.0,8,0,0,0
57,51,M,African-American,Greater than 45,Low,Male,2,-1.0,1,0,0,0
59,29,M,Caucasian,25 - 45,Low,Male,2,-1.0,2,1,1,1
61,51,F,African-American,Greater than 45,Low,Female,7,-1.0,2,0,0,0
64,29,F,African-American,25 - 45,Medium,Male,0,0.0,7,1,1,1
66,25,M,Caucasian,25 - 45,High,Male,9,-1.0,10,1,1,1
67,35,F,African-American,25 - 45,High,Male,13,-1.0,8,1,1,1
68,49,M,Caucasian,Greater than 45,Low,Male,0,0.0,1,0,0,0
70,29,F,African-American,25 - 45,Low,Male,0,0.0,4,0,0,0
71,29,F,Caucasian,25 - 45,Low,Male,1,-24.0,2,1,1,1
72,28,F,Other,25 - 45,Low,Female,0,-1.0,2,0,0,0
79,31,F,African-American,25 - 45,Medium,Male,15,-1.0,5,1,0,0
80,24,F,African-American,Less than 25,Low,Male,2,-1.0,4,1,1,1
83,30,M,Hispanic,25 - 45,Medium,Male,0,0.0,7,0,0,0
84,49,M,African-American,Greater than 45,Low,Male,4,-1.0,1,0,0,0
85,53,F,Caucasian,Greater than 45,Medium,Male,8,-13.0,5,0,0,0
87,35,F,African-American,25 - 45,Low,Male,5,-1.0,3,0,0,0
90,27,F,African-American,25 - 45,High,Male,15,-1.0,10,1,1,1
91,38,M,Caucasian,25 - 45,Low,Male,4,-1.0,2,1,1,1
93,22,F,African-American,Less than 25,Low,Male,1,-1.0,4,1,1,1
96,29,F,African-American,25 - 45,High,Male,4,-1.0,9,1,1,1
97,62,M,Hispanic,Greater than 45,Low,Male,0,0.0,1,0,0,0
98,27,F,African-American,25 - 45,Medium,Male,6,0.0,6,1,1,1
99,33,M,Other,25 - 45,Low,Male,0,-1.0,1,0,0,0
100,56,M,African-American,Greater than 45,Low,Female,0,0.0,1,0,0,0
101,45,F,Hispanic,Greater than 45,Low,Male,6,-1.0,1,1,1,1
102,22,F,Hispanic,Less than 25,Low,Male,1,-1.0,4,0,0,0
105,39,M,African-American,25 - 45,Low,Male,1,-1.0,4,0,0,0
107,29,F,African-American,25 - 45,Medium,Male,5,0.0,6,1,1,1
108,27,F,Caucasian,25 - 45,Medium,Male,1,-1.0,6,1,1,1
111,40,F,African-American,25 - 45,Low,Male,2,-15.0,2,0,0,0
113,22,M,African-American,Less than 25,Low,Male,1,0.0,3,1,1,1
114,22,F,Caucasian,Less than 25,High,Male,0,-1.0,8,0,0,0
115,26,F,African-American,25 - 45,Low,Female,1,-1.0,4,1,1,1
119,32,F,African-American,25 - 45,Low,Male,0,-1.0,2,0,0,0
120,41,M,African-American,25 - 45,Low,Male,1,-1.0,2,0,0,0
122,30,M,African-American,25 - 45,High,Male,8,-1.0,10,1,1,1
127,50,F,Other,Greater than 45,Low,Male,0,-1.0,1,1,1,1
128,25,F,African-American,25 - 45,High,Male,14,-1.0,10,1,1,1
130,20,F,Other,Less than 25,Medium,Male,0,-1.0,5,1,1,1
131,22,F,African-American,Less than 25,High,Male,2,0.0,9,1,1,1
136,35,M,African-American,25 - 45,Low,Female,1,-1.0,2,0,0,0
137,36,F,African-American,25 - 45,Medium,Male,9,0.0,7,1,1,1
138,26,F,Caucasian,25 - 45,High,Male,7,0.0,8,1,1,1
139,21,F,Other,Less than 25,Medium,Male,1,0.0,6,1,1,1
142,25,F,Caucasian,25 - 45,High,Male,9,-1.0,8,1,1,1
145,20,F,Caucasian,Less than 25,Medium,Female,0,-1.0,7,0,0,0
146,39,F,Caucasian,25 - 45,Low,Male,2,-2.0,1,1,1,1
148,54,M,Caucasian,Greater than 45,Low,Female,0,0.0,1,0,0,0
150,44,M,Hispanic,25 - 45,Low,Female,0,-2.0,1,0,0,0
151,19,M,African-American,Less than 25,Low,Male,1,-10.0,4,1,1,1
153,30,F,African-American,25 - 45,Low,Male,1,-1.0,2,0,0,0
154,39,F,Caucasian,25 - 45,Low,Female,0,-1.0,1,1,1,1
156,24,F,Caucasian,Less than 25,Medium,Male,8,-1.0,6,1,1,1
157,30,F,Caucasian,25 - 45,Low,Male,0,-1.0,4,0,0,0
158,31,M,Caucasian,25 - 45,Medium,Male,0,-1.0,5,0,0,0
159,39,F,Caucasian,25 - 45,Low,Female,1,-1.0,4,0,0,0
163,43,F,Caucasian,25 - 45,Low,Male,1,-30.0,1,0,0,0
166,21,F,African-American,Less than 25,High,Male,3,-1.0,9,1,1,1
169,38,M,Caucasian,25 - 45,Low,Male,5,-1.0,4,1,1,1
171,34,F,Caucasian,25 - 45,Medium,Male,0,0.0,5,0,0,0
173,33,F,African-American,25 - 45,Medium,Male,5,0.0,5,1,1,1
174,37,F,African-American,25 - 45,Low,Male,3,0.0,2,0,0,0
175,42,F,Caucasian,25 - 45,Low,Male,1,0.0,2,1,1,1
176,41,F,African-American,25 - 45,High,Male,10,0.0,9,1,1,1
177,22,F,African-American,Less than 25,Low,Male,0,-1.0,4,1,1,1
178,33,F,African-American,25 - 45,High,Male,28,-1.0,8,1,1,1
180,31,M,African-American,25 - 45,Medium,Male,1,-1.0,7,0,0,0
182,30,F,Other,25 - 45,Low,Female,1,-1.0,2,0,0,0
183,31,F,Caucasian,25 - 45,High,Male,13,-1.0,10,1,1,1
184,27,F,African-American,25 - 45,High,Male,3,-1.0,9,1,1,1
189,52,M,Caucasian,Greater than 45,High,Male,3,-2.0,9,0,0,0
190,33,F,African-American,25 - 45,High,Male,19,-1.0,10,1,1,1
194,42,F,Caucasian,25 - 45,Low,Male,6,-4.0,3,0,0,0
195,25,F,Caucasian,25 - 45,Low,Female,2,-1.0,4,0,0,0
197,30,M,Caucasian,25 - 45,Low,Male,1,-20.0,2,0,0,0
200,37,M,Other,25 - 45,Low,Female,2,-1.0,2,0,0,0
202,28,M,Caucasian,25 - 45,Low,Male,0,-1.0,2,1,1,1
203,24,M,African-American,Less than 25,Low,Female,0,-1.0,2,0,0,0
206,29,F,Caucasian,25 - 45,Low,Female,10,-1.0,4,1,1,1
